I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11
-222.823776,-29.457575,-0.192084,-0.001638,0.000003,-4.500009,-0.190921,0.981606,0.320859,0.000000,0.000000,9.668077
-222.839188,-29.469297,-0.192114,0.000591,0.000000,5.760337,-0.190915,0.981606,0.320859,0.000000,0.000000,9.692307
-222.833588,-29.468000,-0.192082,0.000972,0.000001,-1.078728,-0.190906,0.981609,0.320859,0.000000,0.000000,9.738975
-222.840973,-29.471785,-0.192081,0.001952,0.000004,1.000357,-0.190902,0.981609,0.320859,0.000000,0.000000,9.791923
-222.803940,-29.468210,-0.192074,-0.000224,0.000000,-2.154449,-0.190895,0.981611,0.320859,0.000000,0.000000,9.736281
-222.800217,-29.467531,-0.192087,-0.001377,0.000002,3.547339,-0.190908,0.981608,0.320859,0.000000,0.000000,9.741667
-222.781815,-29.463854,-0.192091,-0.001770,0.000003,0.324356,-0.190912,0.981607,0.320859,0.000000,0.000000,9.774872
-222.793823,-29.454760,-0.192109,-0.007597,0.000058,-4.217148,-0.190929,0.981601,0.320859,0.000000,0.000000,9.817051
-222.809174,-29.475311,-0.192107,0.000868,0.000001,-4.883632,-0.190932,0.981603,0.320859,0.000000,0.000000,9.782948
-222.839294,-29.483471,-0.192099,0.005628,0.000032,2.331402,-0.190916,0.981607,0.320859,0.000000,0.000000,9.766794
-222.832108,-29.472322,-0.192095,0.000131,0.000000,2.021930,-0.190920,0.981606,0.320859,0.000000,0.000000,9.752436
-222.791351,-29.481844,-0.192084,0.002706,0.000007,-3.216592,-0.190905,0.981607,0.320859,0.000000,0.000000,9.805385
-222.747406,-29.470530,-0.192121,-0.002319,0.000005,4.182950,-0.190938,0.981602,0.320859,0.000000,0.000000,9.785641
-222.772476,-29.472857,-0.192120,-0.001104,0.000001,-0.036565,-0.190952,0.981600,0.320859,0.000000,0.000000,9.695000
-222.809509,-29.491709,-0.192129,0.005952,0.000035,-0.008813,-0.190941,0.981601,0.320859,0.000000,0.000000,9.762307
-222.839172,-29.465433,-0.192126,-0.005710,0.000033,-5.198294,-0.190946,0.981600,0.320859,0.000000,0.000000,9.718333
-222.829590,-29.464548,-0.192132,-0.005258,0.000028,-0.902065,-0.190956,0.981598,0.320859,0.000000,0.000000,9.741667
-222.797165,-29.498211,-0.192120,0.009573,0.000092,3.343399,-0.190933,0.981604,0.320859,0.000000,0.000000,9.727307
-222.797073,-29.470985,-0.192125,-0.003553,0.000013,1.385682,-0.190945,0.981600,0.320859,0.000000,0.000000,9.793717
-222.752686,-29.481709,-0.192147,0.000658,0.000000,5.765652,-0.190963,0.981597,0.320859,0.000000,0.000000,9.738975
-222.802917,-29.483313,-0.192122,0.001955,0.000004,-1.207562,-0.190942,0.981602,0.320859,0.000000,0.000000,9.708462
-222.782516,-29.482443,-0.192122,0.002374,0.000006,2.348504,-0.190939,0.981602,0.320859,0.000000,0.000000,9.784743
-222.775848,-29.474321,-0.192114,-0.002230,0.000005,-3.319790,-0.190935,0.981603,0.320859,0.000000,0.000000,9.707564
-222.786438,-29.476934,-0.192118,-0.001047,0.000001,-0.205919,-0.190939,0.981602,0.320859,0.000000,0.000000,9.711154
-222.761780,-29.475725,-0.192127,-0.002221,0.000005,2.217706,-0.190932,0.981603,0.320859,0.000000,0.000000,9.738975
-222.785553,-29.488802,-0.192109,0.002975,0.000009,2.245570,-0.190929,0.981604,0.320859,0.000000,0.000000,9.772180
-222.804077,-29.491756,-0.192106,0.004046,0.000016,1.777594,-0.190919,0.981606,0.320859,0.000000,0.000000,9.721923
-222.775757,-29.466616,-0.192109,-0.007760,0.000060,-0.296314,-0.190929,0.981604,0.320859,0.000000,0.000000,9.785641
-222.783096,-29.472599,-0.192108,-0.004049,0.000016,-1.853419,-0.190928,0.981602,0.320859,0.000000,0.000000,9.735384
-222.782822,-29.491583,-0.192114,0.002959,0.000009,3.536122,-0.190935,0.981603,0.320859,0.000000,0.000000,9.727307
