I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11
51.377522,1.399834,0.116574,-0.010005,0.000100,4.959195,0.116284,0.993216,9.835897,0.000000,0.000000,0.000000
51.439301,1.359634,0.116502,0.018013,0.000324,2.326623,0.116280,0.993217,9.780256,0.000000,0.000000,0.000000
51.426060,1.362582,0.116609,0.018492,0.000342,3.742493,0.116362,0.993207,9.617821,0.000000,0.000000,0.000000
51.365097,1.363913,0.116735,0.022913,0.000525,2.156000,0.116470,0.993189,9.736281,0.000000,0.000000,0.000000
51.333099,1.370021,0.116870,0.025310,0.000641,1.766664,0.116604,0.993173,9.723718,0.000000,0.000000,0.000000
51.341885,1.365354,0.117014,0.026326,0.000693,1.609504,0.116747,0.993156,9.722820,0.000000,0.000000,0.000000
51.307186,1.361248,0.117136,0.018969,0.000360,0.304722,0.116869,0.993143,9.693205,0.000000,0.000000,0.000000
51.354939,1.353980,0.117218,0.015657,0.000245,-0.286683,0.116994,0.993133,9.660000,0.000000,0.000000,0.000000
51.319225,1.355994,0.117301,0.004189,0.000018,-2.816159,0.117048,0.993126,9.706666,0.000000,0.000000,0.000000
51.376175,1.342053,0.117346,0.005901,0.000035,-0.881515,0.117076,0.993123,9.746154,0.000000,0.000000,0.000000
51.373161,1.339885,0.117372,0.007367,0.000054,-1.534528,0.117114,0.993119,9.665384,0.000000,0.000000,0.000000
51.443207,1.319687,0.117475,0.009804,0.000096,5.414193,0.117221,0.993106,9.792820,0.000000,0.000000,0.000000
51.509117,1.318197,0.117531,0.014817,0.000220,4.368687,0.117285,0.993098,9.802692,0.000000,0.000000,0.000000
51.470520,1.321317,0.117605,0.009350,0.000087,-0.192209,0.117335,0.993090,9.749743,0.000000,0.000000,0.000000
51.512947,1.316396,0.117679,0.018655,0.000348,1.905115,0.117453,0.993078,9.751538,0.000000,0.000000,0.000000
51.508266,1.319753,0.117758,0.010922,0.000119,2.114932,0.117505,0.993072,9.638461,0.000000,0.000000,0.000000
51.541485,1.315208,0.117825,0.008818,0.000078,-2.913071,0.117562,0.993065,9.720128,0.000000,0.000000,0.000000
51.528175,1.318338,0.117874,0.001422,0.000002,-3.002849,0.117615,0.993059,9.721025,0.000000,0.000000,0.000000
51.574936,1.315864,0.117926,0.005789,0.000034,-2.257636,0.117652,0.993054,9.755128,0.000000,0.000000,0.000000
51.524082,1.313885,0.117964,0.005943,0.000035,-1.969212,0.117691,0.993050,9.857435,0.000000,0.000000,0.000000
51.568348,1.311355,0.118111,0.016229,0.000263,3.418128,0.117837,0.993030,9.769487,0.000000,0.000000,0.000000
51.528084,1.309839,0.118246,0.011579,0.000134,0.540373,0.117999,0.993014,9.781154,0.000000,0.000000,0.000000
51.499275,1.305785,0.118394,0.017429,0.000304,8.105398,0.118150,0.992996,9.800000,0.000000,0.000000,0.000000
51.479023,1.304053,0.118514,0.010881,0.000118,-2.000872,0.118288,0.992979,9.812564,0.000000,0.000000,0.000000
51.502686,1.299702,0.118603,0.009129,0.000083,3.290237,0.118356,0.992971,9.783846,0.000000,0.000000,0.000000
51.515209,1.297723,0.118678,0.007572,0.000057,-2.185546,0.118407,0.992965,9.728205,0.000000,0.000000,0.000000
51.566944,1.301984,0.118750,0.011372,0.000129,-0.432511,0.118490,0.992955,9.808974,0.000000,0.000000,0.000000
51.551365,1.297901,0.118801,0.006277,0.000039,-1.491758,0.118532,0.992950,9.738077,0.000000,0.000000,0.000000
51.565197,1.295219,0.118840,0.009855,0.000097,2.570531,0.118583,0.992944,9.761410,0.000000,0.000000,0.000000
51.586235,1.292155,0.118904,0.010017,0.000100,-0.827374,0.118647,0.992936,9.791025,0.000000,0.000000,0.000000
51.581306,1.288761,0.118972,0.013750,0.000189,-0.725435,0.118733,0.992926,9.787436,0.000000,0.000000,0.000000
51.536697,1.290910,0.119061,0.012549,0.000157,1.582573,0.118804,0.992918,9.795512,0.000000,0.000000,0.000000
51.596191,1.287528,0.119135,0.010447,0.000109,0.029511,0.118865,0.992911,9.784743,0.000000,0.000000,0.000000
51.613316,1.289575,0.119208,0.012073,0.000146,2.687457,0.118960,0.992899,9.764102,0.000000,0.000000,0.000000
51.623962,1.291335,0.119295,0.014743,0.000217,1.053950,0.119013,0.992890,9.825128,0.000000,0.000000,0.000000
51.601109,1.286198,0.119375,0.022498,0.000506,10.048207,0.119139,0.992877,9.768590,0.000000,0.000000,0.000000
51.559334,1.326430,0.119877,0.013278,0.000176,-1.913389,0.119619,0.992820,9.692307,0.000000,0.000000,0.000000
51.519825,1.342009,0.119959,0.016395,0.000269,3.724695,0.119672,0.992810,9.380898,0.000000,0.000000,0.000000
51.200432,0.974341,0.119905,-0.093348,0.008714,-142.851837,0.119613,0.992821,9.304615,0.000000,0.000000,0.000000
51.461506,1.317274,0.119851,-0.015381,0.000237,-2.545533,0.119564,0.992831,9.705769,0.000000,0.000000,0.000000
51.398869,1.243894,0.119664,-0.017781,0.000316,2.526166,0.119313,0.992857,9.866410,0.000000,0.000000,0.000000
51.356297,1.287219,0.119506,-0.026175,0.000685,-2.980830,0.119222,0.992874,9.913974,0.000000,0.000000,0.000000
51.717007,1.650859,0.119477,0.076005,0.005777,91.363701,0.119178,0.992873,9.893333,0.000000,0.000000,0.000000
51.412907,1.310186,0.119381,-0.017587,0.000309,1.858670,0.119098,0.992887,9.890641,0.000000,0.000000,0.000000
51.460663,1.318601,0.119306,-0.006020,0.000036,2.060319,0.119023,0.992892,9.653718,0.000000,0.000000,0.000000
51.494141,1.386784,0.119258,-0.002580,0.000007,4.323469,0.118964,0.992899,9.495770,0.000000,0.000000,0.000000
51.479259,1.360799,0.119052,-0.023818,0.000567,-2.022015,0.118725,0.992927,9.844872,0.000000,0.000000,0.000000
51.499241,1.361335,0.118887,-0.028589,0.000817,96.518074,0.118578,0.992945,9.913076,0.000000,0.000000,0.000000
51.490593,1.352480,0.118730,-0.024899,0.000620,-0.074834,0.118409,0.992965,9.969615,0.000000,0.000000,0.000000
51.481121,1.304055,0.118468,-0.010925,0.000119,2.991904,0.118180,0.992992,9.951667,0.000000,0.000000,0.000000
51.292591,0.961617,0.118391,-0.116077,0.013474,-191.999512,0.118086,0.993003,10.129358,0.000000,0.000000,0.000000
51.841213,1.661338,0.118472,0.101171,0.010236,93.131203,0.118317,0.992976,9.808077,0.000000,0.000000,0.000000
51.551777,1.353956,0.118635,0.009082,0.000082,-0.398093,0.118381,0.992968,10.014487,0.000000,0.000000,0.000000
51.625698,1.373894,0.118723,0.018735,0.000351,5.575583,0.118370,0.992970,9.468846,0.000000,0.000000,0.000000
51.667168,1.372415,0.118845,0.016339,0.000267,-96.593735,0.118592,0.992943,9.671666,0.000000,0.000000,0.000000
51.412354,1.725435,0.118915,0.113135,0.012800,197.550262,0.119123,0.992934,9.653718,0.000000,0.000000,0.000000
51.662346,1.401472,0.118938,-0.011267,0.000127,-8.687424,0.118169,0.992937,9.798205,0.000000,0.000000,0.000000
51.676975,1.442190,0.118948,0.009226,0.000085,-1.415136,0.118668,0.992922,9.915769,0.000000,0.000000,0.000000
51.603329,1.443153,0.118931,0.005469,0.000030,-89.925140,0.118559,0.992947,9.467949,0.000000,0.000000,0.000000
51.620407,1.346306,0.118662,-0.025444,0.000647,-95.570786,0.118357,0.992971,9.639359,0.000000,0.000000,0.000000
51.500313,1.365535,0.118472,-0.008585,0.000074,0.246220,0.118195,0.992992,9.750641,0.000000,0.000000,0.000000
51.441730,2.106807,0.118545,0.157675,0.024861,183.941986,0.117779,0.993013,9.762307,0.000000,0.000000,0.000000
51.401360,1.375733,0.118209,-0.005741,0.000033,12.447798,0.117933,0.993023,9.504744,0.000000,0.000000,0.000000
51.419849,1.385459,0.118124,-0.025925,0.000672,-4.801197,0.117792,0.993038,9.764999,0.000000,0.000000,0.000000
51.455536,1.396853,0.118002,-0.015956,0.000255,5.540578,0.117706,0.993048,9.677052,0.000000,0.000000,0.000000
51.759972,1.773386,0.117993,0.066783,0.004460,91.805641,0.117232,0.993054,9.775769,0.000000,0.000000,0.000000
51.482311,1.425160,0.117867,-0.008891,0.000079,4.575169,0.117583,0.993063,9.799103,0.000000,0.000000,0.000000
51.460506,1.360879,0.117759,-0.027108,0.000735,-4.024582,0.117487,0.993082,9.955256,0.000000,0.000000,0.000000
51.548450,1.379185,0.117644,-0.002748,0.000008,4.966619,0.117373,0.993090,9.896923,0.000000,0.000000,0.000000
51.524548,1.365376,0.117546,-0.023975,0.000575,-1.932467,0.117239,0.993104,10.274743,0.000000,0.000000,0.000000
51.311836,1.024137,0.117486,-0.094362,0.008904,-189.644867,0.117315,0.993095,10.119487,0.000000,0.000000,0.000000
51.528774,1.364748,0.117496,0.005183,0.000027,5.113926,0.117254,0.993102,9.943589,0.000000,0.000000,0.000000
51.468983,1.387223,0.117690,0.017021,0.000290,-0.535905,0.117455,0.993078,9.807179,0.000000,0.000000,0.000000
51.561684,1.413076,0.117889,0.019045,0.000363,5.053425,0.117637,0.993057,9.570256,0.000000,0.000000,0.000000
